"","article_name","year","yearweek_start","yearweek_end","month","week","promo_01","promo_02","promo_03","promo_04","promo_05","sales","date"
"46","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-11-14","2016-11-20",11,46,0,0,0,0,0,3792,"2016-11-14"
"47","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-11-21","2016-11-27",11,47,0,0,0,0,0,3872,"2016-11-21"
"48","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-11-28","2016-12-04",12,48,0,0,0,0,0,3839,"2016-11-28"
"49","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-12-05","2016-12-11",12,49,0,0,0,0,0,3312,"2016-12-05"
"50","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-12-12","2016-12-18",12,50,0,0,0,0,0,3607,"2016-12-12"
"51","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-12-19","2016-12-25",12,51,0,0,0,0,0,3912,"2016-12-19"
"52","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-12-26","2017-01-01",12,52,0,0,0,0,0,2969,"2016-12-26"
"53","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-01-02","2017-01-08",1,1,0,0,0,0,0,4161,"2017-01-02"
"54","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-01-09","2017-01-15",1,2,0,0,0,0,0,4898,"2017-01-09"
"55","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-01-16","2017-01-22",1,3,0,0,0,0,0,4756,"2017-01-16"
"56","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-01-23","2017-01-29",1,4,0,0,0,0,0,4552,"2017-01-23"
"57","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-01-30","2017-02-05",2,5,0,0,0,0,0,4594,"2017-01-30"
"58","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-02-06","2017-02-12",2,6,0,0,0,0,0,4690,"2017-02-06"
"59","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-02-13","2017-02-19",2,7,0,0,0,0,0,4254,"2017-02-13"
"60","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-02-20","2017-02-26",2,8,0,0,0,0,0,4322,"2017-02-20"
"61","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-02-27","2017-03-05",3,9,0,0,0,0,0,4866,"2017-02-27"
"62","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-03-06","2017-03-12",3,10,0,0,0,0,0,4939,"2017-03-06"
"63","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-03-13","2017-03-19",3,11,0,0,1,0,0,5581,"2017-03-13"
"64","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-03-20","2017-03-26",3,12,0,0,1,0,0,5103,"2017-03-20"
"65","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-03-27","2017-04-02",3,13,0,0,0,0,0,5125,"2017-03-27"
"66","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-04-03","2017-04-09",4,14,0,0,0,0,0,5245,"2017-04-03"
"67","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-04-10","2017-04-16",4,15,0,0,0,0,0,5143,"2017-04-10"
"68","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-04-17","2017-04-23",4,16,0,0,0,0,0,4262,"2017-04-17"
"69","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-04-24","2017-04-30",4,17,0,0,0,0,0,5002,"2017-04-24"
