,article_name,date,sales
76,AHA JOGHURT LAKTOSEF CLAS,2022-08-28,4843.516134674439
77,BIFIDUS JOGH. NATURE 150G,2022-08-28,15604.763892318637
78,BIFIDUS JOGH. NATURE 500G,2022-08-28,6700.947465719608
79,BIO FAIRT.JOG.MOKKA 180G,2022-08-28,3485.9886915679394
80,BIO JOGHURT NATURE 180G,2022-08-28,7248.600285850724
81,BIO JOGHURT NATURE 500G,2022-08-28,6024.013566792619
82,EXC JOGHURT TRUFFES 150G,2022-08-28,5080.845042689563
83,M-CLAS JOG. APF/MANG 200G,2022-08-28,9190.775848142755
84,M-CLAS JOG. ERDBEER 200G,2022-08-28,10399.13164470402
85,M-CLAS JOG. HASELNUS 200G,2022-08-28,8892.737018051665
86,M-CLAS JOG. HEIDELBE 200G,2022-08-28,8915.650903384849
87,M-CLAS JOG. HIMBEER 200G,2022-08-28,8001.217597163086
88,M-CLAS JOG. NATURE 200G,2022-08-28,5554.141909112593
89,M-CLAS JOG. SCHOKOLA 200G,2022-08-28,24365.49793235999
90,M-CLAS JOG. VANILLE 200G,2022-08-28,4437.947062463038
91,M-CLAS JOGHURT MOKKA 200G,2022-08-28,21137.89176521416
92,MB JOGHURT NATUR 500G,2022-08-28,7538.503864598435
93,VALFLORA CREME FRAICHE NA,2022-08-28,11410.639933647455
94,YOGOS GRECQUE NATURE 180G,2022-08-28,7461.115459416545
95,AHA JOGHURT LAKTOSEF CLAS,2022-09-04,4622.27709537277
96,BIFIDUS JOGH. NATURE 150G,2022-09-04,14891.979444807346
97,BIFIDUS JOGH. NATURE 500G,2022-09-04,6394.865863324698
98,BIO FAIRT.JOG.MOKKA 180G,2022-09-04,3326.7579245601178
99,BIO JOGHURT NATURE 180G,2022-09-04,6917.5033474008205
100,BIO JOGHURT NATURE 500G,2022-09-04,5748.8525190743385
101,EXC JOGHURT TRUFFES 150G,2022-09-04,4848.765444969623
102,M-CLAS JOG. APF/MANG 200G,2022-09-04,8770.965453680892
103,M-CLAS JOG. ERDBEER 200G,2022-09-04,9924.126745231224
104,M-CLAS JOG. HASELNUS 200G,2022-09-04,8486.540251089025
105,M-CLAS JOG. HEIDELBE 200G,2022-09-04,8508.40749058955
106,M-CLAS JOG. HIMBEER 200G,2022-09-04,7635.7430854199865
107,M-CLAS JOG. NATURE 200G,2022-09-04,5300.443359143831
108,M-CLAS JOG. SCHOKOLA 200G,2022-09-04,23252.546265683144
109,M-CLAS JOG. VANILLE 200G,2022-09-04,4235.233348444001
110,M-CLAS JOGHURT MOKKA 200G,2022-09-04,20172.36863347116
111,MB JOGHURT NATUR 500G,2022-09-04,7194.164895468982
112,VALFLORA CREME FRAICHE NA,2022-09-04,10889.432004006256
113,YOGOS GRECQUE NATURE 180G,2022-09-04,7120.3113884766435
114,AHA JOGHURT LAKTOSEF CLAS,2022-09-11,4789.994256524731
115,BIFIDUS JOGH. NATURE 150G,2022-09-11,15432.327949425722
116,BIFIDUS JOGH. NATURE 500G,2022-09-11,6626.900578339529
117,BIO FAIRT.JOG.MOKKA 180G,2022-09-11,3447.46777890995
118,BIO JOGHURT NATURE 180G,2022-09-11,7168.501718927851
119,BIO JOGHURT NATURE 500G,2022-09-11,5957.446942231198
120,EXC JOGHURT TRUFFES 150G,2022-09-11,5024.700629888788
121,M-CLAS JOG. APF/MANG 200G,2022-09-11,9089.215830302817
122,M-CLAS JOG. ERDBEER 200G,2022-09-11,10284.219039630594
123,M-CLAS JOG. HASELNUS 200G,2022-09-11,8794.470392347619
124,M-CLAS JOG. HEIDELBE 200G,2022-09-11,8817.13107439942
125,M-CLAS JOG. HIMBEER 200G,2022-09-11,7912.802449700499
126,M-CLAS JOG. NATURE 200G,2022-09-11,5492.767465790812
127,M-CLAS JOG. SCHOKOLA 200G,2022-09-11,24096.254024601156
128,M-CLAS JOG. VANILLE 200G,2022-09-11,4388.906808377466
129,M-CLAS JOGHURT MOKKA 200G,2022-09-11,20904.31358854612
130,MB JOGHURT NATUR 500G,2022-09-11,7455.201801788386
131,VALFLORA CREME FRAICHE NA,2022-09-11,11284.549947951577
132,YOGOS GRECQUE NATURE 180G,2022-09-11,7378.668554858719
133,AHA JOGHURT LAKTOSEF CLAS,2022-09-18,4654.461031018299
134,BIFIDUS JOGH. NATURE 150G,2022-09-18,14995.66914107545
135,BIFIDUS JOGH. NATURE 500G,2022-09-18,6439.391958831404
136,BIO FAIRT.JOG.MOKKA 180G,2022-09-18,3349.921434826406
137,BIO JOGHURT NATURE 180G,2022-09-18,6965.668456927324
138,BIO JOGHURT NATURE 500G,2022-09-18,5788.880560598449
139,EXC JOGHURT TRUFFES 150G,2022-09-18,4882.526370985371
140,M-CLAS JOG. APF/MANG 200G,2022-09-18,8832.035826980884
141,M-CLAS JOG. ERDBEER 200G,2022-09-18,9993.226336172307
142,M-CLAS JOG. HASELNUS 200G,2022-09-18,8545.630231992087
143,M-CLAS JOG. HEIDELBE 200G,2022-09-18,8567.649728446124
144,M-CLAS JOG. HIMBEER 200G,2022-09-18,7688.909145999297
145,M-CLAS JOG. NATURE 200G,2022-09-18,5337.349222735226
146,M-CLAS JOG. SCHOKOLA 200G,2022-09-18,23414.44881656193
147,M-CLAS JOG. VANILLE 200G,2022-09-18,4264.722380520112
148,M-CLAS JOGHURT MOKKA 200G,2022-09-18,20312.824560392422
149,MB JOGHURT NATUR 500G,2022-09-18,7244.256340711604
150,VALFLORA CREME FRAICHE NA,2022-09-18,10965.252810851465
151,YOGOS GRECQUE NATURE 180G,2022-09-18,7169.888607404574
152,AHA JOGHURT LAKTOSEF CLAS,2022-09-25,4662.000370856832
153,BIFIDUS JOGH. NATURE 150G,2022-09-25,15019.959267259199
154,BIFIDUS JOGH. NATURE 500G,2022-09-25,6449.82254660679
155,BIO FAIRT.JOG.MOKKA 180G,2022-09-25,3355.3476691339292
156,BIO JOGHURT NATURE 180G,2022-09-25,6976.951512333599
157,BIO JOGHURT NATURE 500G,2022-09-25,5798.257443880997
158,EXC JOGHURT TRUFFES 150G,2022-09-25,4890.435133210716
159,M-CLAS JOG. APF/MANG 200G,2022-09-25,8846.342041840555
160,M-CLAS JOG. ERDBEER 200G,2022-09-25,10009.413458361038
161,M-CLAS JOG. HASELNUS 200G,2022-09-25,8559.472524370103
162,M-CLAS JOG. HEIDELBE 200G,2022-09-25,8581.527688211992
163,M-CLAS JOG. HIMBEER 200G,2022-09-25,7701.363713489061
164,M-CLAS JOG. NATURE 200G,2022-09-25,5345.994711301778
165,M-CLAS JOG. SCHOKOLA 200G,2022-09-25,23452.37576139691
166,M-CLAS JOG. VANILLE 200G,2022-09-25,4271.630418019935
167,M-CLAS JOGHURT MOKKA 200G,2022-09-25,20345.727465029653
168,MB JOGHURT NATUR 500G,2022-09-25,7255.990655397256
169,VALFLORA CREME FRAICHE NA,2022-09-25,10983.014430683601
170,YOGOS GRECQUE NATURE 180G,2022-09-25,7181.5024605350245
171,AHA JOGHURT LAKTOSEF CLAS,2022-10-02,4378.449978589782
172,BIFIDUS JOGH. NATURE 150G,2022-10-02,14106.42108551862
173,BIFIDUS JOGH. NATURE 500G,2022-10-02,6057.53392205503
174,BIO FAIRT.JOG.MOKKA 180G,2022-10-02,3151.2700045926035
175,BIO JOGHURT NATURE 180G,2022-10-02,6552.60205270737
176,BIO JOGHURT NATURE 500G,2022-10-02,5445.598061235854
177,EXC JOGHURT TRUFFES 150G,2022-10-02,4592.9909697466965
178,M-CLAS JOG. APF/MANG 200G,2022-10-02,8308.29323091106
179,M-CLAS JOG. ERDBEER 200G,2022-10-02,9400.624765373499
180,M-CLAS JOG. HASELNUS 200G,2022-10-02,8038.871580823178
181,M-CLAS JOG. HEIDELBE 200G,2022-10-02,8059.585313978367
182,M-CLAS JOG. HIMBEER 200G,2022-10-02,7232.954333772582
183,M-CLAS JOG. NATURE 200G,2022-10-02,5020.842678512774
184,M-CLAS JOG. SCHOKOLA 200G,2022-10-02,22025.96438907946
185,M-CLAS JOG. VANILLE 200G,2022-10-02,4011.822956780544
186,M-CLAS JOGHURT MOKKA 200G,2022-10-02,19108.267459721388
187,MB JOGHURT NATUR 500G,2022-10-02,6814.669584406908
188,VALFLORA CREME FRAICHE NA,2022-10-02,10315.009754072511
189,YOGOS GRECQUE NATURE 180G,2022-10-02,6744.711881863914
190,AHA JOGHURT LAKTOSEF CLAS,2022-10-09,3815.3552431173343
191,BIFIDUS JOGH. NATURE 150G,2022-10-09,12292.251347722175
192,BIFIDUS JOGH. NATURE 500G,2022-10-09,5278.498994595709
193,BIO FAIRT.JOG.MOKKA 180G,2022-10-09,2745.9979201071587
194,BIO JOGHURT NATURE 180G,2022-10-09,5709.898416130968
195,BIO JOGHURT NATURE 500G,2022-10-09,4745.261728795097
196,EXC JOGHURT TRUFFES 150G,2022-10-09,4002.30498548661
197,M-CLAS JOG. APF/MANG 200G,2022-10-09,7239.797255859586
198,M-CLAS JOG. ERDBEER 200G,2022-10-09,8191.6484515139855
199,M-CLAS JOG. HASELNUS 200G,2022-10-09,7005.024834043954
